appearance_id,book_id,book_slug,title,authors,publication_year,award_id,award_program,award_category,award_year,status,original_status,is_tie,primary_subject,publisher,imprint,isbn13,source_url,source_confidence
appearance-julia-ward-howe-laura-e-richards-and-maud-howe-elliott-assisted-by-florence-howe-hall-pulitzer-prize-in-biography-or-autobiography-1917-finalist,book-julia-ward-howe-laura-e-richards-and-maud-howe-elliott-assisted-by-florence-howe-hall,julia-ward-howe-laura-e-richards-and-maud-howe-elliott-assisted-by-florence-howe-hall,Julia Ward Howe,"Laura E. Richards; Maud Howe Elliott, assisted by Florence Howe Hall",,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1917,finalist,finalist,false,Biography,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-with-americans-of-past-and-present-days-jean-jules-jusserand-pulitzer-prize-in-history-1917-finalist,book-with-americans-of-past-and-present-days-jean-jules-jusserand,with-americans-of-past-and-present-days-jean-jules-jusserand,With Americans of Past and Present Days,Jean Jules Jusserand,,award-pulitzer-prize-in-history,Pulitzer Prize,History,1917,finalist,finalist,false,American History,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-benjamin-franklin-self-revealed-william-cabell-bruce-pulitzer-prize-in-biography-or-autobiography-1918-finalist,book-benjamin-franklin-self-revealed-william-cabell-bruce,benjamin-franklin-self-revealed-william-cabell-bruce,"Benjamin Franklin, Self-Revealed",William Cabell Bruce,,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1918,finalist,finalist,false,Biography,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-a-history-of-the-civil-war-1861-1865-james-ford-rhodes-pulitzer-prize-in-history-1918-finalist,book-a-history-of-the-civil-war-1861-1865-james-ford-rhodes,a-history-of-the-civil-war-1861-1865-james-ford-rhodes,"A History of the Civil War, 1861-1865",James Ford Rhodes,,award-pulitzer-prize-in-history,Pulitzer Prize,History,1918,finalist,finalist,false,American History,,,9781409961079,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-samuel-butler-author-of-erewhon-1835-1902-a-memoir-h-festing-jones-james-tait-black-prizes-biography-1919-winner,book-samuel-butler-author-of-erewhon-1835-1902-a-memoir-h-festing-jones,samuel-butler-author-of-erewhon-1835-1902-a-memoir-h-festing-jones,"Samuel Butler, Author Of Erewhon (1835-1902) - A Memoir",H. Festing Jones,,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1919,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-the-education-of-henry-adams-henry-adams-pulitzer-prize-in-biography-or-autobiography-1919-finalist,book-the-education-of-henry-adams-henry-adams,the-education-of-henry-adams-henry-adams,The Education of Henry Adams,Henry Adams,1918,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1919,finalist,finalist,false,Memoir & Autobiography,,,9798756501209,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-lord-grey-of-the-reform-bill-g-m-trevelyan-james-tait-black-prizes-biography-1920-winner,book-lord-grey-of-the-reform-bill-g-m-trevelyan,lord-grey-of-the-reform-bill-g-m-trevelyan,Lord Grey Of The Reform Bill,G. M. Trevelyan,,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1920,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
appearance-the-life-of-john-marshall-4-vols-albert-j-beveridge-pulitzer-prize-in-biography-or-autobiography-1920-finalist,book-the-life-of-john-marshall-4-vols-albert-j-beveridge,the-life-of-john-marshall-4-vols-albert-j-beveridge,"The Life of John Marshall, 4 vols.",Albert J. Beveridge,1919,award-pulitzer-prize-in-biography-or-autobiography,Pulitzer Prize,Biography or Autobiography,1920,finalist,finalist,false,Biography,Houghton Mifflin Harcourt,Houghton Mifflin,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Biography,secondary
appearance-the-war-with-mexico-justin-h-smith-pulitzer-prize-in-history-1920-finalist,book-the-war-with-mexico-justin-h-smith,the-war-with-mexico-justin-h-smith,The War with Mexico,Justin H. Smith,,award-pulitzer-prize-in-history,Pulitzer Prize,History,1920,finalist,finalist,false,American History,,,,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_History,secondary
appearance-queen-victoria-lytton-strachey-james-tait-black-prizes-biography-1921-winner,book-queen-victoria-lytton-strachey,queen-victoria-lytton-strachey,Queen Victoria,Lytton Strachey,,award-james-tait-black-prizes-biography,James Tait Black Prizes,Biography,1921,winner,winner,false,Biography,,,,https://james-tait-black.ed.ac.uk/winners/biography,official
